variant,feature_class,n_features,mean_importance_nonneg,mean_ablation_delta_auc,mean_stability,mean_FRS
BIOMARKERS,TRUE_SIGNAL,0,,,,
BIOMARKERS,SPURIOUS_IMPORTANCE,1,0.2856825396825396,0.13761904761904753,0.803864989980066,1.0
BIOMARKERS,HIDDEN_SIGNAL,4,0.0056190476190476,0.5195238095238094,0.6349739910549749,0.5572468551500921
BIOMARKERS,LOW_SIGNAL,4,0.0344880952380952,0.35464285714285704,0.8093098366968527,0.5310518125559127
BIOMARKERS,UNRESOLVED,1,0.0,,0.46129792319943186,0.0
CLINICAL,TRUE_SIGNAL,0,,,,
CLINICAL,SPURIOUS_IMPORTANCE,1,0.0047301587301587,0.0,0.5,1.0
CLINICAL,HIDDEN_SIGNAL,4,0.0,0.04380952380952388,0.79482916219921,0.7095414895826222
CLINICAL,LOW_SIGNAL,15,1.4814814814813334e-05,0.011936507936508007,0.8541448980425398,0.4763889413884789
CLINICAL,UNRESOLVED,23,0.0003133195307108304,,0.673865731739078,0.2504220558983699
FULL,TRUE_SIGNAL,0,,,,
FULL,SPURIOUS_IMPORTANCE,1,0.1931111111111111,0.053333333333333455,1.0,1.0
FULL,HIDDEN_SIGNAL,14,5.4421768707471435e-05,0.34095238095238106,0.5010831406392195,0.4591961867499948
FULL,LOW_SIGNAL,5,0.00687301587301586,0.2612380952380954,0.5912088568532918,0.4512155806358994
FULL,UNRESOLVED,34,0.00011764705882352647,,0.4645843211883825,0.23259677035524184
