variant,threshold,TRUE_SIGNAL,SPURIOUS_IMPORTANCE,HIDDEN_SIGNAL,LOW_SIGNAL,UNRESOLVED,agreement_vs_base,n_features,jaccard_vs_base,n_overlap
BIOMARKERS,0.5,0.0,1.0,6.0,2.0,1.0,0.8,10,1.0,10
BIOMARKERS,0.6,0.0,1.0,5.0,3.0,1.0,0.9,10,1.0,10
BIOMARKERS,0.67,0.0,1.0,4.0,4.0,1.0,1.0,10,1.0,10
BIOMARKERS,0.75,0.0,1.0,3.0,5.0,1.0,0.9,10,1.0,10
BIOMARKERS,0.8,0.0,1.0,2.0,6.0,1.0,0.8,10,1.0,10
CLINICAL,0.5,0.0,1.0,7.0,12.0,23.0,0.9302325581395349,43,1.0,10
CLINICAL,0.6,0.0,1.0,5.0,14.0,23.0,0.9767441860465116,43,1.0,10
CLINICAL,0.67,0.0,1.0,4.0,15.0,23.0,1.0,43,1.0,10
CLINICAL,0.75,0.0,1.0,2.0,17.0,23.0,0.9534883720930233,43,1.0,10
CLINICAL,0.8,0.0,1.0,2.0,17.0,23.0,0.9534883720930233,43,1.0,10
FULL,0.5,0.0,1.0,18.0,1.0,34.0,0.9259259259259259,54,1.0,10
FULL,0.6,0.0,1.0,17.0,2.0,34.0,0.9444444444444444,54,1.0,10
FULL,0.67,0.0,1.0,14.0,5.0,34.0,1.0,54,1.0,10
FULL,0.75,0.0,1.0,8.0,11.0,34.0,0.8888888888888888,54,1.0,10
FULL,0.8,0.0,1.0,2.0,17.0,34.0,0.7777777777777778,54,1.0,10
